-1280  8.786381E-14
-1278.75  8.802278E-14
-1277.5  8.796726E-14
-1276.25  8.771712E-14
-1275  8.72965E-14
-1273.75  8.67335E-14
-1272.5  8.605971E-14
-1271.25  8.530972E-14
-1270  8.452049E-14
-1268.75  8.373081E-14
-1267.5  8.298058E-14
-1266.25  8.231019E-14
-1265  8.17599E-14
-1263.75  8.136924E-14
-1262.5  8.117645E-14
-1261.25  8.121801E-14
-1260  8.152823E-14
-1258.75  8.2139E-14
-1257.5  8.307948E-14
-1256.25  8.437606E-14
-1255  8.605229E-14
-1253.75  8.812896E-14
-1252.5  9.06242E-14
-1251.25  9.355375E-14
-1250  9.693115E-14
-1248.75  1.007681E-13
-1247.5  1.050747E-13
-1246.25  1.0986E-13
-1245  1.151321E-13
-1243.75  1.208986E-13
-1242.5  1.271669E-13
-1241.25  1.339444E-13
-1240  1.412389E-13
-1238.75  1.490588E-13
-1237.5  1.574129E-13
-1236.25  1.663111E-13
-1235  1.75764E-13
-1233.75  1.857831E-13
-1232.5  1.963809E-13
-1231.25  2.075706E-13
-1230  2.193663E-13
-1228.75  2.317831E-13
-1227.5  2.448362E-13
-1226.25  2.58542E-13
-1225  2.729169E-13
-1223.75  2.879779E-13
-1222.5  3.037422E-13
-1221.25  3.20227E-13
-1220  3.374499E-13
-1218.75  3.554282E-13
-1217.5  3.741791E-13
-1216.25  3.937199E-13
-1215  4.140674E-13
-1213.75  4.35238E-13
-1212.5  4.572482E-13
-1211.25  4.801135E-13
-1210  5.038496E-13
-1208.75  5.284712E-13
-1207.5  5.539928E-13
-1206.25  5.804283E-13
-1205  6.077911E-13
-1203.75  6.360939E-13
-1202.5  6.653491E-13
-1201.25  6.955685E-13
-1200  7.26763E-13
-1198.75  7.589435E-13
-1197.5  7.921201E-13
-1196.25  8.263023E-13
-1195  8.614995E-13
-1193.75  8.977205E-13
-1192.5  9.349737E-13
-1191.25  9.732674E-13
-1190  1.01261E-12
-1188.75  1.053008E-12
-1187.5  1.094471E-12
-1186.25  1.137006E-12
-1185  1.180622E-12
-1183.75  1.225327E-12
-1182.5  1.27113E-12
-1181.25  1.318042E-12
-1180  1.366073E-12
-1178.75  1.415234E-12
-1177.5  1.465538E-12
-1176.25  1.517001E-12
-1175  1.569638E-12
-1173.75  1.623466E-12
-1172.5  1.678506E-12
-1171.25  1.734781E-12
-1170  1.792315E-12
-1168.75  1.851136E-12
-1167.5  1.911275E-12
-1166.25  1.972766E-12
-1165  2.035648E-12
-1163.75  2.099962E-12
-1162.5  2.165754E-12
-1161.25  2.233075E-12
-1160  2.301979E-12
-1158.75  2.372526E-12
-1157.5  2.444781E-12
-1156.25  2.518814E-12
-1155  2.594701E-12
-1153.75  2.672522E-12
-1152.5  2.752365E-12
-1151.25  2.834322E-12
-1150  2.918491E-12
-1148.75  3.004979E-12
-1147.5  3.093895E-12
-1146.25  3.185356E-12
-1145  3.279486E-12
-1143.75  3.376414E-12
-1142.5  3.476275E-12
-1141.25  3.57921E-12
-1140  3.685366E-12
-1138.75  3.794896E-12
-1137.5  3.907956E-12
-1136.25  4.024711E-12
-1135  4.145327E-12
-1133.75  4.269976E-12
-1132.5  4.398836E-12
-1131.25  4.532084E-12
-1130  4.669906E-12
-1128.75  4.812485E-12
-1127.5  4.960011E-12
-1126.25  5.112673E-12
-1125  5.270662E-12
-1123.75  5.434169E-12
-1122.5  5.603386E-12
-1121.25  5.778503E-12
-1120  5.959709E-12
-1118.75  6.147192E-12
-1117.5  6.341136E-12
-1116.25  6.541724E-12
-1115  6.749132E-12
-1113.75  6.963533E-12
-1112.5  7.185095E-12
-1111.25  7.413982E-12
-1110  7.650347E-12
-1108.75  7.89434E-12
-1107.5  8.146104E-12
-1106.25  8.405771E-12
-1105  8.673468E-12
-1103.75  8.949312E-12
-1102.5  9.23341E-12
-1101.25  9.525863E-12
-1100  9.82676E-12
-1098.75  1.013618E-11
-1097.5  1.04542E-11
-1096.25  1.078087E-11
-1095  1.111626E-11
-1093.75  1.146039E-11
-1092.5  1.181331E-11
-1091.25  1.217504E-11
-1090  1.25456E-11
-1088.75  1.292499E-11
-1087.5  1.331321E-11
-1086.25  1.371027E-11
-1085  1.411613E-11
-1083.75  1.453079E-11
-1082.5  1.495422E-11
-1081.25  1.538638E-11
-1080  1.582725E-11
-1078.75  1.627679E-11
-1077.5  1.673494E-11
-1076.25  1.720168E-11
-1075  1.767696E-11
-1073.75  1.816073E-11
-1072.5  1.865295E-11
-1071.25  1.915357E-11
-1070  1.966256E-11
-1068.75  2.017987E-11
-1067.5  2.070546E-11
-1066.25  2.123931E-11
-1065  2.178139E-11
-1063.75  2.233167E-11
-1062.5  2.289013E-11
-1061.25  2.345677E-11
-1060  2.403157E-11
-1058.75  2.461454E-11
-1057.5  2.520568E-11
-1056.25  2.580502E-11
-1055  2.641258E-11
-1053.75  2.702838E-11
-1052.5  2.765248E-11
-1051.25  2.828492E-11
-1050  2.892576E-11
-1048.75  2.957508E-11
-1047.5  3.023295E-11
-1046.25  3.089947E-11
-1045  3.157474E-11
-1043.75  3.225889E-11
-1042.5  3.295202E-11
-1041.25  3.36543E-11
-1040  3.436588E-11
-1038.75  3.508692E-11
-1037.5  3.581762E-11
-1036.25  3.655819E-11
-1035  3.730885E-11
-1033.75  3.806985E-11
-1032.5  3.884146E-11
-1031.25  3.962397E-11
-1030  4.041771E-11
-1028.75  4.122304E-11
-1027.5  4.204032E-11
-1026.25  4.286999E-11
-1025  4.371251E-11
-1023.75  4.456837E-11
-1022.5  4.543813E-11
