-320  0.0001213806
-315  0.0001670574
-310  0.0002292375
-305  0.0003126062
-300  0.0004233938
-295  0.0005692522
-290  0.0007593717
-285  0.001004987
-280  0.001319273
-275  0.001717603
-270  0.002218215
-265  0.002841989
-260  0.00361193
-255  0.004554001
-250  0.005699479
-245  0.007086476
-240  0.008759678
-235  0.01076901
-230  0.0131664
-225  0.01600383
-220  0.01933622
-215  0.02322433
-210  0.02773453
-205  0.03293986
-200  0.03892128
-195  0.04576782
-190  0.05357472
-185  0.06244091
-180  0.07246174
-175  0.08371735
-170  0.09627163
-165  0.1101857
-160  0.1255342
-155  0.1424163
-150  0.1609491
-145  0.1812365
-140  0.2033373
-135  0.2272532
-130  0.2529379
-125  0.2803234
-120  0.3093447
-115  0.3399508
-110  0.372097
-105  0.4057217
-100  0.4407246
-95  0.4769518
-90  0.5141903
-85  0.5521775
-80  0.5906159
-75  0.6291907
-70  0.6675845
-65  0.7054779
-60  0.7425419
-55  0.7784215
-50  0.8127254
-45  0.8450418
-40  0.8749762
-35  0.9022002
-30  0.9264851
-25  0.9476843
-20  0.9656629
-15  0.980214
-10  0.9910242
-5  0.9977243
0  1
5  0.9977243
10  0.9910242
15  0.980214
20  0.9656629
25  0.9476843
30  0.9264851
35  0.9022002
40  0.8749762
45  0.8450418
50  0.8127254
55  0.7784215
60  0.7425419
65  0.7054779
70  0.6675845
75  0.6291907
80  0.5906159
85  0.5521775
90  0.5141903
95  0.4769518
100  0.4407246
105  0.4057217
110  0.372097
115  0.3399508
120  0.3093447
125  0.2803234
130  0.2529379
135  0.2272532
140  0.2033373
145  0.1812365
150  0.1609491
155  0.1424163
160  0.1255342
165  0.1101857
170  0.09627163
175  0.08371735
180  0.07246174
185  0.06244091
190  0.05357472
195  0.04576782
200  0.03892128
205  0.03293986
210  0.02773453
215  0.02322433
220  0.01933622
225  0.01600383
230  0.0131664
235  0.01076901
240  0.008759678
245  0.007086476
250  0.005699479
255  0.004554001
260  0.00361193
265  0.002841989
270  0.002218215
275  0.001717603
280  0.001319273
285  0.001004987
290  0.0007593717
295  0.0005692522
300  0.0004233938
305  0.0003126062
310  0.0002292375
315  0.0001670574
